
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
1/5/8/10/11                35 -1111.03 2293.63 341.92   0.00
2/4/7/8/10/11/12           16 -1130.67 2293.68 341.97   0.00
2/4/7/10/11                14 -1132.73 2293.72 342.01   0.00
1/5/7/8/10/11              36 -1110.11 2293.88 342.17   0.00
2/6/8/9/12                 31 -1115.33 2293.90 342.18   0.00
2/4/8/10/11/12             15 -1131.83 2293.96 342.25   0.00
5/6/7                      42 -1103.90 2294.08 342.36   0.00
1/2/5/8                    35 -1111.28 2294.13 342.42   0.00
1/2/5/7/10                 38 -1108.15 2294.16 342.44   0.00
3/7/8/9/11/12              20 -1126.83 2294.18 342.47   0.00
1/2/5/7/8                  36 -1110.28 2294.23 342.51   0.00
4/8/9/12                   13 -1134.03 2294.28 342.56   0.00
1/2/5/10                   37 -1109.27 2294.31 342.59   0.00
2/4/10/11                  13 -1134.06 2294.34 342.62   0.00
1/2/5/8/11/12              37 -1109.31 2294.39 342.67   0.00
1/2/5/7/8/11/12            38 -1108.32 2294.50 342.78   0.00
3/9/12                     17 -1130.09 2294.55 342.84   0.00
2/4/7/8/10                 14 -1133.15 2294.57 342.85   0.00
1/2/5/7/8/10/11/12         41 -1105.24 2294.64 342.92   0.00
2/4/8/10                   13 -1134.26 2294.74 343.02   0.00
1/2/5/8/10/11/12           40 -1106.37 2294.79 343.08   0.00
1/2/5/7/8/10               39 -1107.46 2294.89 343.17   0.00
6/8/9/11/12                28 -1118.94 2294.90 343.18   0.00
1/2/5/11/12                36 -1110.64 2294.95 343.24   0.00
1/2/5/8/10                 38 -1108.55 2294.97 343.25   0.00
1/2/5/7/11/12              37 -1109.61 2294.98 343.26   0.00
1/2/5/7/10/11/12           40 -1106.60 2295.26 343.54   0.00
5/6/7/8                    43 -1103.48 2295.34 343.63   0.00
3/9/11/12                  18 -1129.50 2295.43 343.71   0.00
5/6/7/12                   43 -1103.55 2295.48 343.77   0.00
1/2/5/11                   35 -1111.95 2295.49 343.77   0.00
1/2/5/7/11                 36 -1110.93 2295.53 343.81   0.00
1/2/5/10/11/12             39 -1107.79 2295.55 343.83   0.00
2/4/7/8/10/11              15 -1132.72 2295.73 344.01   0.00
6/7/9                      26 -1121.58 2296.03 344.31   0.00
5/6/7/11                   43 -1103.84 2296.06 344.34   0.00
1/2/5/7/10/11              39 -1108.11 2296.17 344.46   0.00
2/4/8/10/11                14 -1133.96 2296.19 344.47   0.00
1/2/5/8/11                 36 -1111.27 2296.21 344.49   0.00
5/6/7/8/12                 44 -1102.86 2296.21 344.50   0.00
1/2/5/7/8/11               37 -1110.28 2296.32 344.61   0.00
1/2/5/10/11                38 -1109.26 2296.39 344.67   0.00
4/9                        11 -1137.12 2296.40 344.68   0.00
4/9/10/12                  15 -1133.06 2296.41 344.69   0.00
3/7/9/10/12                21 -1126.96 2296.49 344.77   0.00
3/8/9/12                   18 -1130.08 2296.58 344.87   0.00
4/8/9                      12 -1136.26 2296.71 345.00   0.00
1/2/5/7/8/10/11            40 -1107.45 2296.97 345.25   0.00
1/2/5/8/10/11              39 -1108.55 2297.07 345.35   0.00
5/6/7/8/11                 44 -1103.43 2297.37 345.65   0.00
3/8/9/11/12                19 -1129.47 2297.41 345.69   0.00
5/6/7/11/12                44 -1103.48 2297.45 345.74   0.00
6/7/9/12                   27 -1121.31 2297.56 345.84   0.00
3/7/9/10/11/12             22 -1126.65 2297.94 346.22   0.00
6/7/8/9                    27 -1121.56 2298.06 346.34   0.00
4/8/9/10/12                16 -1132.95 2298.24 346.52   0.00
5/6/7/8/11/12              45 -1102.82 2298.25 346.53   0.00
3/7/8/9/10/12              22 -1126.96 2298.54 346.82   0.00
6/9                        25 -1124.08 2298.97 347.25   0.00
3/7/9                      17 -1132.45 2299.27 347.55   0.00
5/6                        41 -1107.55 2299.28 347.56   0.00
6/7/8/9/12                 28 -1121.31 2299.62 347.91   0.00
4/9/10                     14 -1135.69 2299.64 347.92   0.00
3/7/8/9/10/11/12           23 -1126.65 2299.99 348.27   0.00
3/9/10/12                  20 -1129.97 2300.47 348.75   0.00
2/6/7/10/11                28 -1121.74 2300.50 348.78   0.00
4/8/9/10                   15 -1135.12 2300.55 348.83   0.00
5/6/12                     42 -1107.16 2300.59 348.87   0.00
6/9/12                     26 -1123.86 2300.60 348.89   0.00
3/7/9/11                   18 -1132.11 2300.65 348.93   0.00
3/7/8/9                    18 -1132.18 2300.79 349.08   0.00
5/6/8                      42 -1107.26 2300.80 349.08   0.00
6/8/9                      26 -1124.07 2301.02 349.31   0.00
3/9/10/11/12               21 -1129.37 2301.32 349.60   0.00
5/6/11                     42 -1107.55 2301.38 349.66   0.00
2/6/7/8/10/11              29 -1121.15 2301.39 349.67   0.00
2/6/7/10                   27 -1123.27 2301.48 349.77   0.00
5/6/8/12                   43 -1106.63 2301.64 349.93   0.00
3/7/8/9/11                 19 -1131.90 2302.26 350.55   0.00
2/6/10/11                  27 -1123.78 2302.49 350.78   0.00
2/6/7/10/11/12             29 -1121.71 2302.50 350.78   0.00
3/8/9/10/12                21 -1129.97 2302.51 350.79   0.00
2/6/7/8/10                 28 -1122.82 2302.65 350.93   0.00
6/8/9/12                   27 -1123.86 2302.67 350.96   0.00
5/6/11/12                  43 -1107.15 2302.69 350.97   0.00
5/6/8/11                   43 -1107.26 2302.91 351.19   0.00
3/9                        16 -1135.37 2303.07 351.35   0.00
2/6/7/8/10/11/12           30 -1121.03 2303.23 351.51   0.00
2/6/8/10/11                28 -1123.11 2303.24 351.52   0.00
3/7/12                     12 -1139.56 2303.31 351.60   0.00
3/8/9/10/11/12             22 -1129.35 2303.33 351.61   0.00
2/6/7/10/12                28 -1123.22 2303.45 351.73   0.00
5/6/8/11/12                44 -1106.63 2303.76 352.04   0.00
1/2/8/9/12                 20 -1131.63 2303.78 352.06   0.00
3/9/11                     17 -1134.75 2303.87 352.16   0.00
3/7/8/12                   13 -1138.86 2303.94 352.23   0.00
2/6/10                     26 -1125.59 2304.05 352.33   0.00
2/6/10/11/12               28 -1123.73 2304.46 352.75   0.00
2/6/7/8/10/12              29 -1122.70 2304.48 352.77   0.00
1/2/9/12                   19 -1133.06 2304.60 352.88   0.00
1/2/8/9/11/12              21 -1131.02 2304.61 352.89   0.00
3/8/9                      17 -1135.18 2304.74 353.02   0.00
2/6/8/10/11/12             29 -1122.96 2305.01 353.30   0.00
2/6/8/10                   27 -1125.06 2305.06 353.34   0.00
3/7/11/12                  13 -1139.44 2305.10 353.38   0.00
1/2/9/10/12                22 -1130.31 2305.25 353.53   0.00
3/7/9/10                   20 -1132.40 2305.33 353.61   0.00
1/2/8/9/10/12              23 -1129.39 2305.47 353.75   0.00
1/2/7/8/9/12               21 -1131.46 2305.49 353.77   0.00
3/7/10/12                  15 -1137.62 2305.53 353.82   0.00
3/7/8/11/12                14 -1138.65 2305.56 353.84   0.00
3/8/9/11                   18 -1134.60 2305.63 353.92   0.00
2/6/10/12                  27 -1125.51 2305.96 354.25   0.00
1/2/9/11/12                20 -1132.73 2305.98 354.27   0.00
3/12                       11 -1141.94 2306.05 354.33   0.00
1/2/7/9/10/12              23 -1129.80 2306.29 354.57   0.00
1/2/8/9/10/11/12           24 -1128.79 2306.34 354.62   0.00
1/2/7/9/12                 20 -1132.91 2306.35 354.63   0.00
1/2/7/8/9/11/12            22 -1130.93 2306.49 354.77   0.00
1/2/7/8/9/10/12            24 -1128.89 2306.53 354.81   0.00
3/8/12                     12 -1141.18 2306.55 354.83   0.00
1/2/9/10/11/12             23 -1129.93 2306.55 354.84   0.00
3/7/9/10/11                21 -1132.06 2306.70 354.98   0.00
1/2/9                      18 -1135.15 2306.72 355.00   0.00
3/7/8/10/12                16 -1137.21 2306.76 355.04   0.00
2/6/8/10/12                28 -1124.90 2306.81 355.09   0.00
3/7/8/9/10                 21 -1132.12 2306.81 355.10   0.00
3/7/10/11/12               16 -1137.39 2307.12 355.40   0.00
3/11/12                    12 -1141.65 2307.49 355.77   0.00
1/2/8/9                    19 -1134.54 2307.55 355.83   0.00
1/2/7/8/9/10/11/12         25 -1128.44 2307.69 355.98   0.00
3/8/11/12                  13 -1140.76 2307.74 356.03   0.00
1/2/7/9/10/11/12           24 -1129.54 2307.83 356.11   0.00
1/2/7/9/11/12              21 -1132.64 2307.85 356.13   0.00
1/2/9/10                   21 -1132.65 2307.87 356.15   0.00
1/2/9/11                   19 -1134.82 2308.12 356.40   0.00
3/7/8/10/11/12             17 -1136.90 2308.18 356.47   0.00
3/7/8/9/10/11              22 -1131.83 2308.28 356.57   0.00
1/2/7/9                    19 -1134.93 2308.34 356.62   0.00
1/2/8/9/11                 20 -1134.09 2308.70 356.98   0.00
1/2/7/9/10                 22 -1132.07 2308.76 357.05   0.00
3/9/10                     19 -1135.28 2309.04 357.32   0.00
1/2/7/8/9                  20 -1134.31 2309.13 357.42   0.00
1/2/9/10/11                22 -1132.27 2309.18 357.46   0.00
3/10/12                    14 -1140.47 2309.20 357.49   0.00
1/2/8/9/10                 22 -1132.38 2309.39 357.67   0.00
3/9/10/11                  20 -1134.63 2309.79 358.07   0.00
1/2/7/9/11                 20 -1134.68 2309.88 358.17   0.00
3/8/10/12                  15 -1139.98 2310.25 358.54   0.00
1/2/7/8/9/10               23 -1131.80 2310.29 358.58   0.00
3/10/11/12                 15 -1140.00 2310.30 358.58   0.00
1/2/7/9/10/11              23 -1131.82 2310.33 358.61   0.00
1/2/7/8/9/11               21 -1133.94 2310.46 358.74   0.00
1/2/8/9/10/11              23 -1131.92 2310.53 358.81   0.00
3/8/9/10                   20 -1135.10 2310.72 359.00   0.00
3/7                        11 -1144.37 2310.89 359.18   0.00
3/8/10/11/12               16 -1139.39 2311.12 359.41   0.00
3/8/9/10/11                21 -1134.49 2311.56 359.84   0.00
1/2/7/8/9/10/11            24 -1131.48 2311.72 360.00   0.00
2/4/12                     10 -1145.91 2311.95 360.23   0.00
3/7/11                     12 -1144.22 2312.64 360.93   0.00
3/7/8                      12 -1144.28 2312.76 361.05   0.00
1/9/10/12                  18 -1138.30 2313.03 361.31   0.00
2/4/8/12                   11 -1145.44 2313.05 361.33   0.00
2/4/7/12                   11 -1145.46 2313.08 361.36   0.00
2/4/11/12                  11 -1145.58 2313.33 361.62   0.00
3/7/10                     14 -1142.69 2313.64 361.92   0.00
3                          10 -1146.83 2313.79 362.07   0.00
1/8/9/10/12                19 -1137.80 2314.07 362.35   0.00
1/9/10/11/12               19 -1137.82 2314.12 362.40   0.00
1/7/9/10/12                19 -1137.87 2314.20 362.49   0.00
2/4/7/11/12                12 -1145.02 2314.23 362.51   0.00
1/8/9/12                   16 -1140.96 2314.25 362.54   0.00
1/9/12                     15 -1142.01 2314.31 362.59   0.00
2/4/7/8/12                 12 -1145.11 2314.41 362.70   0.00
3/7/8/11                   13 -1144.12 2314.47 362.76   0.00
2/4/8/11/12                12 -1145.18 2314.55 362.83   0.00
1/8/9/10/11/12             20 -1137.12 2314.76 363.04   0.00
1/8/9/11/12                17 -1140.24 2314.86 363.14   0.00
3/7/10/11                  15 -1142.40 2315.10 363.39   0.00
3/11                       11 -1146.50 2315.17 363.45   0.00
1/7/8/9/10/12              20 -1137.38 2315.28 363.57   0.00
1/9/11/12                  16 -1141.57 2315.48 363.76   0.00
1/7/9/10/11/12             20 -1137.49 2315.51 363.79   0.00
6/7/10/11                  24 -1133.39 2315.52 363.80   0.00
3/8                        11 -1146.70 2315.57 363.85   0.00
3/7/8/10                   15 -1142.68 2315.65 363.94   0.00
2/4/7/8/11/12              13 -1144.75 2315.72 364.00   0.00
6/7/10                     23 -1134.56 2315.80 364.08   0.00
2/5/7/9/12                 35 -1122.19 2315.95 364.23   0.00
1/7/8/9/12                 17 -1140.85 2316.08 364.36   0.00
1/7/9/12                   16 -1141.90 2316.14 364.42   0.00
1/7/8/9/10/11/12           21 -1136.83 2316.23 364.51   0.00
1/7/8/9/11/12              18 -1140.19 2316.81 365.09   0.00
3/8/11                     12 -1146.35 2316.89 365.18   0.00
6/7/10/11/12               25 -1133.13 2317.06 365.35   0.00
3/10                       13 -1145.43 2317.09 365.38   0.00
2/4                         9 -1149.49 2317.10 365.38   0.00
3/7/8/10/11                16 -1142.38 2317.10 365.39   0.00
6/7/8/10/11                25 -1133.24 2317.28 365.56   0.00
6/7/10/12                  24 -1134.28 2317.30 365.58   0.00
1/7/9/11/12                17 -1141.52 2317.41 365.70   0.00
2/5/7/9                    34 -1123.97 2317.43 365.71   0.00
2/5/7/9/11/12              36 -1121.95 2317.56 365.85   0.00
6/7/8/10                   24 -1134.47 2317.69 365.97   0.00
2/5/7/9/10/12              38 -1119.96 2317.78 366.06   0.00
2/4/11                     10 -1148.88 2317.89 366.17   0.00
5/7/9/12                   31 -1127.39 2318.01 366.30   0.00
2/5/7/8/9/12               36 -1122.18 2318.04 366.32   0.00
3/10/11                    14 -1144.89 2318.04 366.32   0.00
2/5/9/12                   34 -1124.33 2318.14 366.43   0.00
2/4/7                      10 -1149.18 2318.50 366.78   0.00
6/7/8/10/11/12             26 -1132.86 2318.60 366.88   0.00
2/4/7/11                   11 -1148.42 2319.00 367.28   0.00
6/7/8/10/12                25 -1134.11 2319.03 367.31   0.00
2/4/8                      10 -1149.45 2319.04 367.32   0.00
3/8/10                     14 -1145.39 2319.05 367.33   0.00
2/5/7/9/11                 35 -1123.78 2319.14 367.42   0.00
2/5/7/8/9                  35 -1123.84 2319.25 367.54   0.00
2/5/7/9/10/11/12           39 -1119.67 2319.31 367.59   0.00
2/5/7/9/10                 37 -1121.80 2319.37 367.66   0.00
5/7/9                      30 -1129.13 2319.41 367.70   0.00
2/5/9/11/12                35 -1123.92 2319.41 367.70   0.00
2/5/9                      33 -1126.03 2319.46 367.75   0.00
2/5/7/8/9/11/12            37 -1121.95 2319.66 367.94   0.00
2/4/8/11                   11 -1148.84 2319.85 368.13   0.00
2/5/7/8/9/10/12            39 -1119.96 2319.88 368.16   0.00
3/8/10/11                  15 -1144.83 2319.95 368.24   0.00
1/9/10                     17 -1142.79 2319.97 368.25   0.00
5/7/9/11/12                32 -1127.33 2319.97 368.26   0.00
5/7/8/9/12                 32 -1127.38 2320.08 368.36   0.00
2/5/8/9/12                 35 -1124.33 2320.23 368.52   0.00
1/9                        14 -1146.00 2320.26 368.54   0.00
2/4/7/8                    11 -1149.17 2320.50 368.79   0.00
5/7/9/10/12                34 -1125.68 2320.86 369.14   0.00
2/5/9/11                   34 -1125.69 2320.88 369.16   0.00
2/5/7/8/9/11               36 -1123.67 2321.01 369.29   0.00
2/5/7/9/10/11              38 -1121.57 2321.01 369.29   0.00
2/4/7/8/11                 12 -1148.41 2321.02 369.30   0.00
1/7/9/10                   18 -1142.30 2321.02 369.31   0.00
5/7/8/9                    31 -1128.93 2321.10 369.39   0.00
2/5/9/10/12                37 -1122.69 2321.15 369.43   0.00
1/9/10/11                  18 -1142.38 2321.17 369.46   0.00
2/5/7/8/9/10               38 -1121.70 2321.27 369.55   0.00
2/5/8/9                    34 -1125.93 2321.34 369.63   0.00
2/5/7/8/9/10/11/12         40 -1119.67 2321.40 369.69   0.00
5/7/9/11                   31 -1129.09 2321.43 369.71   0.00
2/5/8/9/11/12              36 -1123.92 2321.50 369.79   0.00
1/9/11                     15 -1145.63 2321.57 369.85   0.00
1/8/9                      15 -1145.74 2321.78 370.07   0.00
1/7/9                      15 -1145.83 2321.96 370.24   0.00
1/8/9/10                   18 -1142.77 2321.96 370.24   0.00
6/10/11                    23 -1137.64 2321.96 370.25   0.00
5/7/8/9/11/12              33 -1127.32 2322.05 370.33   0.00
5/7/9/10                   33 -1127.39 2322.18 370.46   0.00
2/5/9/10/11/12             38 -1122.21 2322.28 370.56   0.00
2/5/9/10                   36 -1124.38 2322.44 370.72   0.00
1/7/9/10/11                19 -1141.98 2322.44 370.73   0.00
5/7/9/10/11/12             35 -1125.58 2322.75 371.03   0.00
2/5/8/9/11                 35 -1125.61 2322.80 371.09   0.00
1/8/9/11                   16 -1145.29 2322.92 371.20   0.00
6/10                       22 -1139.15 2322.94 371.22   0.00
5/7/8/9/10/12              35 -1125.68 2322.94 371.23   0.00
2/5/7/8/9/10/11            39 -1121.49 2322.95 371.23   0.00
1/7/8/9/10                 19 -1142.28 2323.03 371.31   0.00
1/8/9/10/11                19 -1142.32 2323.11 371.39   0.00
5/7/8/9/11                 32 -1128.91 2323.14 371.42   0.00
2/5/8/9/10/12              38 -1122.69 2323.24 371.53   0.00
1/7/9/11                   16 -1145.52 2323.38 371.67   0.00
1/7/8/9                    16 -1145.57 2323.48 371.77   0.00
6/10/11/12                 24 -1137.40 2323.55 371.83   0.00
6/8/10/11                  24 -1137.48 2323.71 371.99   0.00
2/5/9/10/11                37 -1123.98 2323.72 372.01   0.00
5/7/8/9/10                 34 -1127.28 2324.04 372.33   0.00
5/7/9/10/11                34 -1127.32 2324.14 372.42   0.00
2/5/8/9/10/11/12           39 -1122.20 2324.36 372.64   0.00
2/5/8/9/10                 37 -1124.31 2324.38 372.66   0.00
1/7/8/9/10/11              20 -1141.94 2324.40 372.68   0.00
5/9/12                     30 -1131.63 2324.43 372.72   0.00
6/10/12                    23 -1138.89 2324.47 372.76   0.00
1/7/8/9/11                 17 -1145.18 2324.75 373.03   0.00
6/8/10                     23 -1139.06 2324.80 373.09   0.00
5/7/8/9/10/11/12           36 -1125.58 2324.83 373.12   0.00
6/8/10/11/12               25 -1137.13 2325.07 373.35   0.00
5/9                        29 -1133.14 2325.36 373.64   0.00
2/5/8/9/10/11              38 -1123.92 2325.71 373.99   0.00
5/7/8/9/10/11              35 -1127.22 2326.03 374.31   0.00
5/9/11/12                  31 -1131.47 2326.17 374.46   0.00
6/8/10/12                  24 -1138.71 2326.18 374.46   0.00
5/8/9/12                   31 -1131.63 2326.50 374.79   0.00
5/8/9                      30 -1132.99 2327.15 375.43   0.00
5/9/11                     30 -1133.03 2327.22 375.51   0.00
5/9/10/12                  33 -1130.24 2327.88 376.16   0.00
5/8/9/11/12                32 -1131.47 2328.25 376.54   0.00
5/9/10                     32 -1131.60 2328.51 376.80   0.00
5/8/9/11                   31 -1132.90 2329.03 377.32   0.00
5/9/10/11/12               34 -1129.99 2329.47 377.75   0.00
2/6/7/11                   25 -1139.33 2329.47 377.76   0.00
2/6/11                     24 -1140.45 2329.65 377.94   0.00
2/6/7/8/11                 26 -1138.46 2329.79 378.07   0.00
2/6/8/11                   25 -1139.54 2329.89 378.17   0.00
5/8/9/10/12                34 -1130.23 2329.95 378.24   0.00
5/9/10/11                  33 -1131.42 2330.24 378.53   0.00
5/8/9/10                   33 -1131.54 2330.48 378.77   0.00
2/6/7                      24 -1141.26 2331.26 379.55   0.00
5/8/9/10/11/12             35 -1129.98 2331.53 379.82   0.00
2/6/7/11/12                26 -1139.33 2331.54 379.82   0.00
2/6/11/12                  25 -1140.45 2331.71 379.99   0.00
2/6/7/8/11/12              27 -1138.41 2331.76 380.04   0.00
2/6/8/11/12                26 -1139.47 2331.81 380.09   0.00
2/6                        23 -1142.60 2331.88 380.16   0.00
2/6/7/8                    25 -1140.57 2331.94 380.23   0.00
5/8/9/10/11                34 -1131.37 2332.23 380.52   0.00
2/6/8                      24 -1141.85 2332.45 380.73   0.00
1/2/8/12                   14 -1152.35 2332.96 381.24   0.00
2/6/7/12                   25 -1141.25 2333.32 381.60   0.00
1/2/8/10/12                17 -1149.52 2333.43 381.71   0.00
1/2/7/8/10/12              18 -1148.72 2333.86 382.15   0.00
2/6/12                     24 -1142.58 2333.91 382.19   0.00
2/6/7/8/12                 26 -1140.52 2333.92 382.20   0.00
1/2/7/8/12                 15 -1151.99 2334.28 382.56   0.00
2/6/8/12                   25 -1141.77 2334.36 382.64   0.00
1/2/8/11/12                15 -1152.35 2334.99 383.27   0.00
1/2/8/10/11/12             18 -1149.52 2335.47 383.76   0.00
1/2/7/8/10/11/12           19 -1148.71 2335.89 384.17   0.00
1/2/7/8/11/12              16 -1151.99 2336.31 384.60   0.00
1/2/10/12                  16 -1152.31 2336.95 385.23   0.00
1/2/7/10/12                17 -1151.42 2337.21 385.49   0.00
1/2/12                     13 -1155.88 2337.98 386.26   0.00
1/2/8                      13 -1156.13 2338.48 386.76   0.00
1/2/10/11/12               17 -1152.24 2338.87 387.15   0.00
1/2/7/10/11/12             18 -1151.28 2338.98 387.26   0.00
1/2/8/10                   16 -1153.45 2339.25 387.53   0.00
1/2/7/12                   14 -1155.53 2339.31 387.60   0.00
1/2/7/8/10                 17 -1152.62 2339.61 387.89   0.00
1/2/7/8                    14 -1155.73 2339.73 388.01   0.00
1/2/11/12                  14 -1155.80 2339.86 388.15   0.00
1/2/10                     15 -1154.93 2340.15 388.43   0.00
1/2/7/10                   16 -1154.00 2340.34 388.63   0.00
1/2/8/11                   14 -1156.11 2340.48 388.76   0.00
1/2                        12 -1158.26 2340.71 388.99   0.00
1/2/7/11/12                15 -1155.39 2341.09 389.37   0.00
1/2/8/10/11                17 -1153.43 2341.24 389.53   0.00
6/7/11                     21 -1149.39 2341.36 389.64   0.00
1/2/7/8/10/11              18 -1152.54 2341.51 389.79   0.00
1/2/7/8/11                 15 -1155.69 2341.67 389.95   0.00
6/7                        20 -1150.60 2341.73 390.01   0.00
1/2/7                      13 -1157.86 2341.95 390.24   0.00
1/2/10/11                  16 -1154.84 2342.02 390.31   0.00
1/2/7/10/11                17 -1153.83 2342.05 390.33   0.00
1/8/10/12                  13 -1158.07 2342.37 390.66   0.00
1/2/11                     13 -1158.16 2342.54 390.83   0.00
6/7/8/11                   22 -1148.96 2342.55 390.84   0.00
1/7/8/10/12                14 -1157.37 2343.00 391.29   0.00
6/7/8                      21 -1150.28 2343.14 391.43   0.00
6/7/11/12                  22 -1149.36 2343.36 391.64   0.00
1/2/7/11                   14 -1157.70 2343.65 391.93   0.00
6/7/12                     21 -1150.57 2343.71 392.00   0.00
1/10/12                    12 -1160.04 2344.28 392.56   0.00
6/7/8/11/12                23 -1148.84 2344.37 392.66   0.00
1/8/10/11/12               14 -1158.07 2344.39 392.68   0.00
1/7/10/12                  13 -1159.25 2344.73 393.02   0.00
6/7/8/12                   22 -1150.18 2345.00 393.28   0.00
1/7/8/10/11/12             15 -1157.37 2345.04 393.32   0.00
6/11                       20 -1152.40 2345.31 393.60   0.00
1/10/11/12                 13 -1160.02 2346.26 394.55   0.00
1/8/12                     10 -1163.09 2346.32 394.60   0.00
6                          19 -1153.92 2346.32 394.60   0.00
6/8/11                     21 -1152.01 2346.59 394.88   0.00
1/7/10/11/12               14 -1159.19 2346.64 394.92   0.00
6/11/12                    21 -1152.35 2347.28 395.56   0.00
6/8                        20 -1153.63 2347.78 396.06   0.00
1/7/8/12                   11 -1162.87 2347.89 396.18   0.00
6/12                       20 -1153.87 2348.27 396.55   0.00
1/8/11/12                  11 -1163.08 2348.32 396.60   0.00
6/8/11/12                  22 -1151.87 2348.36 396.65   0.00
6/8/12                     21 -1153.50 2349.58 397.86   0.00
1/12                        9 -1165.85 2349.80 398.09   0.00
1/7/8/11/12                12 -1162.86 2349.92 398.20   0.00
1/10                       11 -1164.42 2351.01 399.29   0.00
1/7/12                     10 -1165.62 2351.37 399.65   0.00
1/7/10                     12 -1163.61 2351.41 399.69   0.00
1/11/12                    10 -1165.81 2351.75 400.03   0.00
1/8/10                     12 -1163.79 2351.77 400.05   0.00
1/7/8/10                   13 -1163.05 2352.32 400.60   0.00
1/10/11                    12 -1164.38 2352.95 401.24   0.00
1/7/11/12                  11 -1165.55 2353.25 401.54   0.00
1/7/10/11                  13 -1163.52 2353.26 401.55   0.00
1/8/10/11                  13 -1163.77 2353.77 402.05   0.00
1/7/8/10/11                14 -1163.00 2354.27 402.55   0.00
1/8                         9 -1168.55 2355.21 403.50   0.00
1                           8 -1169.82 2355.73 404.02   0.00
1/7/8                      10 -1168.27 2356.68 404.96   0.00
1/7                         9 -1169.53 2357.16 405.45   0.00
1/8/11                     10 -1168.54 2357.22 405.50   0.00
1/11                        9 -1169.76 2357.63 405.91   0.00
1/7/8/11                   11 -1168.24 2358.64 406.93   0.00
1/7/11                     10 -1169.42 2358.97 407.25   0.00
4/7/12                      7 -1172.55 2359.16 407.45   0.00
4/7/10/12                  10 -1169.58 2359.30 407.59   0.00
4/7/10/11/12               11 -1169.10 2360.36 408.64   0.00
4/7/11/12                   8 -1172.42 2360.92 409.21   0.00
4/7/8/12                    8 -1172.55 2361.18 409.47   0.00
4/7/8/10/12                11 -1169.55 2361.26 409.54   0.00
4/7/8/10/11/12             12 -1169.08 2362.36 410.64   0.00
4/7/8/11/12                 9 -1172.41 2362.94 411.22   0.00
2/5/7/10/12                32 -1150.07 2365.45 413.74   0.00
2/5/7/12                   29 -1153.49 2366.06 414.34   0.00
2/5/7/8/10/12              33 -1149.67 2366.74 415.02   0.00
2/5/7/10/11/12             33 -1149.88 2367.16 415.45   0.00
2/5/7/8/12                 30 -1153.09 2367.35 415.63   0.00
4/7/10                      9 -1174.71 2367.54 415.82   0.00
4/7                         6 -1177.91 2367.86 416.15   0.00
2/5/7/11/12                30 -1153.37 2367.91 416.19   0.00
4/7/8/10                   10 -1173.94 2368.02 416.31   0.00
2/5/7/10                   31 -1152.61 2368.46 416.74   0.00
2/5/12                     28 -1155.76 2368.53 416.81   0.00
2/5/7/8/10/11/12           34 -1149.52 2368.54 416.82   0.00
2/5/7                      28 -1155.81 2368.64 416.92   0.00
4/12                        6 -1178.36 2368.77 417.05   0.00
4/7/10/11                  10 -1174.38 2368.90 417.18   0.00
2/5/10/12                  31 -1152.84 2368.92 417.20   0.00
4/7/8                       7 -1177.50 2369.07 417.36   0.00
2/5/7/8/11/12              31 -1153.01 2369.26 417.55   0.00
4/11/12                     7 -1177.68 2369.43 417.71   0.00
4/7/8/10/11                11 -1173.66 2369.49 417.77   0.00
4/7/11                      7 -1177.87 2369.81 418.10   0.00
2/5/8/12                   29 -1155.39 2369.86 418.14   0.00
2/5/7/10/11                32 -1152.36 2370.05 418.33   0.00
2/5/8/10/12                32 -1152.45 2370.22 418.50   0.00
2/5/7/11                   29 -1155.65 2370.39 418.68   0.00
2/5/7/8/10                 32 -1152.58 2370.49 418.77   0.00
2/5/11/12                  29 -1155.71 2370.50 418.78   0.00
2/5/7/8                    29 -1155.77 2370.63 418.92   0.00
2/5                        27 -1157.87 2370.68 418.97   0.00
4/8/12                      7 -1178.33 2370.74 419.02   0.00
2/5/10/11/12               32 -1152.74 2370.79 419.08   0.00
4/7/8/11                    8 -1177.48 2371.06 419.34   0.00
2/5/10                     30 -1155.08 2371.32 419.60   0.00
4/8/11/12                   8 -1177.62 2371.33 419.61   0.00
2/5/8/11/12                30 -1155.35 2371.87 420.15   0.00
2/5/7/8/10/11              33 -1152.34 2372.09 420.38   0.00
2/5/8/10/11/12             33 -1152.37 2372.15 420.43   0.00
2/5/7/8/11                 30 -1155.62 2372.40 420.69   0.00
4/10/11/12                 10 -1176.20 2372.53 420.81   0.00
2/5/11                     28 -1157.78 2372.57 420.86   0.00
2/5/8                      28 -1157.83 2372.67 420.95   0.00
4/10/12                     9 -1177.33 2372.76 421.05   0.00
2/5/10/11                  31 -1154.92 2373.08 421.36   0.00
2/5/8/10                   31 -1155.04 2373.32 421.61   0.00
4/8/10/11/12               11 -1176.19 2374.54 422.82   0.00
2/5/8/11                   29 -1157.74 2374.57 422.85   0.00
4/8/10/12                  10 -1177.33 2374.79 423.07   0.00
5/7/12                     25 -1162.02 2374.86 423.14   0.00
2/5/8/10/11                32 -1154.89 2375.10 423.38   0.00
